id,bookingId,status,threeDSCode,threeDSVerifiedAt,createdAt,updatedAt
1,1,pending_3d,123456,,2026-02-20 05:55:44,2026-02-20 05:55:44
2,2,paid,123456,2026-02-20 06:01:33,2026-02-20 06:01:21,2026-02-20 06:01:33
3,3,paid,123456,2026-02-20 06:07:51,2026-02-20 06:07:42,2026-02-20 06:07:51
4,4,pending_3d,123456,,2026-02-20 06:27:38,2026-02-20 06:27:38
5,5,pending_3d,123456,,2026-02-20 06:27:48,2026-02-20 06:27:48
6,6,paid,123456,2026-02-20 06:31:04,2026-02-20 06:29:37,2026-02-20 06:31:04
7,7,paid,123456,2026-02-20 06:32:03,2026-02-20 06:31:58,2026-02-20 06:32:03
8,8,pending_3d,123456,,2026-02-20 06:41:59,2026-02-20 06:41:59
9,9,paid,123456,2026-02-20 07:29:19,2026-02-20 07:29:15,2026-02-20 07:29:19
10,10,paid,123456,2026-02-23 08:01:55,2026-02-23 08:01:46,2026-02-23 08:01:55
11,11,paid,123456,2026-02-25 07:03:30,2026-02-25 07:03:22,2026-02-25 07:03:30
